property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,Area Type,Area Size
Flat,26000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,2,For Rent,2,Marla,4.0
Flat,30000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,2,For Rent,2,Marla,4.7
Flat,21000,Gulistan-e-Jauhar,Karachi,Sindh,24.913179,67.12195899999999,2,For Rent,2,Marla,4.4
House,22000000,Bahria Town,Islamabad,Islamabad Capital,33.692638,73.218813,5,For Sale,5,Marla,10.0
Flat,30000,E-11,Islamabad,Islamabad Capital,33.699958,72.970119,1,For Rent,1,Marla,2.0
House,60000,E-11,Islamabad,Islamabad Capital,33.698244,72.984238,3,For Rent,3,Marla,10.0
Flat,30000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,2,For Rent,2,Marla,6.4
House,200000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,7,For Rent,6,Kanal,1.0
House,45000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,6,Kanal,1.0
House,24500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,11.0
House,13500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,4,For Sale,3,Marla,5.0
House,17500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,8.0
House,25500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,11.0
House,21000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,10.0
House,22500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,10.0
Flat,4400000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,0,For Sale,0,Marla,2.7
House,18000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,5,For Sale,5,Marla,10.0
House,47500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,6,Kanal,1.0
House,46000000,Bahria Town,Lahore,Punjab,31.375843,74.189715,7,For Sale,5,Kanal,1.0
House,20000000,Bahria Town,Lahore,Punjab,31.37108,74.19031600000001,7,For Sale,5,Marla,10.0
House,22000000,Bahria Town,Lahore,Punjab,31.37108,74.19031600000001,7,For Sale,5,Marla,10.0
House,11000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,4,For Sale,3,Marla,5.0
House,21000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,10.0
House,32500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Kanal,1.0
House,10500000,Bahria Town,Lahore,Punjab,31.374249,74.176404,3,For Sale,2,Marla,5.0
House,21000000,Bahria Town,Lahore,Punjab,31.37108,74.19031600000001,5,For Sale,4,Marla,10.0
House,17500000,Bahria Town,Lahore,Punjab,31.381193,74.188771,6,For Sale,4,Marla,8.0
House,11000000,Bahria Town,Lahore,Punjab,31.362139000000003,74.19359200000001,3,For Sale,2,Marla,5.0
House,10000000,Bahria Town,Lahore,Punjab,31.374249,74.176404,3,For Sale,2,Marla,5.0
House,13000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,4,For Sale,3,Marla,8.0
House,22000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,10.0
House,11600000,Bahria Town,Lahore,Punjab,31.375514000000003,74.172735,4,For Sale,3,Marla,5.0
House,18500000,Bahria Town,Lahore,Punjab,31.382805,74.188514,7,For Sale,5,Marla,8.0
House,23500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,10.0
House,23500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,10.0
House,16500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,5,For Sale,5,Marla,10.0
House,11000000,Bahria Town,Lahore,Punjab,31.37414,74.18016,4,For Sale,3,Marla,5.0
House,11700000,Bahria Town,Lahore,Punjab,31.374249,74.176404,4,For Sale,3,Marla,5.0
House,11500000,Bahria Town,Lahore,Punjab,31.37414,74.18016,4,For Sale,3,Marla,5.0
House,12000000,Bahria Town,Lahore,Punjab,31.375514000000003,74.172735,4,For Sale,3,Marla,5.0
House,23500000,Bahria Town,Lahore,Punjab,31.375843,74.189715,7,For Sale,5,Marla,10.0
House,45000000,Bahria Town,Lahore,Punjab,31.389912,74.190488,7,For Sale,5,Kanal,1.0
House,11200000,Bahria Town,Lahore,Punjab,31.37414,74.18016,4,For Sale,3,Marla,5.0
House,22000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,10.0
House,22000000,Bahria Town,Lahore,Punjab,31.379287,74.181304,7,For Sale,5,Marla,10.0
House,12200000,Bahria Town,Lahore,Punjab,31.375514000000003,74.172735,4,For Sale,3,Marla,5.0
House,11100000,Bahria Town,Lahore,Punjab,31.374249,74.176404,4,For Sale,3,Marla,5.0
House,14000000,Bahria Town,Lahore,Punjab,31.374249,74.176404,4,For Sale,3,Marla,6.0
House,17000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,5,For Sale,5,Marla,8.0
House,16500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,5,For Sale,5,Marla,10.0
House,13000000,Bahria Town,Lahore,Punjab,31.385627000000003,74.19681700000001,3,For Sale,3,Marla,8.0
House,17500000,Bahria Town,Lahore,Punjab,31.381706,74.19529399999999,6,For Sale,4,Marla,8.0
House,21000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,5,For Sale,5,Marla,10.0
House,22000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,11.0
House,16000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,5,For Sale,5,Marla,10.0
House,22500000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,10.0
House,15000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,5,For Sale,4,Marla,7.0
House,14000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,8.0
House,38000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,6,Kanal,1.0
House,25000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,10.0
House,37500000,Bahria Town,Lahore,Punjab,31.375843,74.189715,6,For Sale,6,Kanal,1.0
House,4200000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,Marla,5.0
House,11500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.498497,73.101182,7,For Sale,4,Marla,7.0
House,22000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.495740999999995,73.074703,6,For Sale,5,Marla,10.0
House,4200000,Adiala Road,Rawalpindi,Punjab,33.510975,73.05319,3,For Sale,3,Marla,5.0
House,50000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393000000001,5,For Rent,4,Marla,7.0
House,23000000,Bahria Town,Lahore,Punjab,31.375843,74.189715,5,For Sale,4,Marla,11.0
House,22500000,Bahria Town,Lahore,Punjab,31.374451,74.183121,6,For Sale,4,Marla,11.0
House,22000000,Bahria Town,Lahore,Punjab,31.379287,74.181304,5,For Sale,4,Marla,10.0
House,25600000,Bahria Town,Lahore,Punjab,31.378774,74.19031600000001,6,For Sale,4,Marla,11.0
House,18500000,Bahria Town,Lahore,Punjab,31.379287,74.181308,6,For Sale,5,Marla,10.0
House,16500000,Bahria Town,Lahore,Punjab,31.374964,74.199843,6,For Sale,5,Marla,10.0
House,17500000,Bahria Town,Lahore,Punjab,31.375697,74.196839,6,For Sale,5,Marla,10.0
House,17800000,Bahria Town,Lahore,Punjab,31.379287,74.181308,6,For Sale,5,Marla,10.0
House,19000000,Bahria Town,Lahore,Punjab,31.375843,74.189715,6,For Sale,5,Marla,10.0
House,16500000,Bahria Town,Lahore,Punjab,31.365803000000003,74.190116,6,For Sale,5,Marla,10.0
House,18000000,Bahria Town,Lahore,Punjab,31.375843,74.189715,6,For Sale,5,Marla,10.0
House,18000000,Bahria Town,Lahore,Punjab,31.37108,74.19031600000001,6,For Sale,5,Marla,10.0
House,65000000,Bahria Town,Lahore,Punjab,31.375843,74.189715,7,For Sale,5,Kanal,1.0
House,25500000,Bahria Town,Lahore,Punjab,31.378774,74.19031600000001,7,For Sale,5,Marla,11.0
House,17500000,Bahria Town,Lahore,Punjab,31.381706,74.19529399999999,5,For Sale,4,Marla,8.0
House,16000000,Bahria Town,Lahore,Punjab,31.363128000000003,74.183328,6,For Sale,5,Marla,10.0
House,16000000,Bahria Town,Lahore,Punjab,31.374964,74.199843,6,For Sale,5,Marla,10.0
House,25500000,Bahria Town,Lahore,Punjab,31.374451,74.183121,7,For Sale,5,Marla,10.0
House,49000000,Bahria Town,Lahore,Punjab,31.385516,74.188857,7,For Sale,5,Kanal,1.0
House,22500000,Bahria Town,Islamabad,Islamabad Capital,33.550837268049,73.10628890991201,4,For Sale,4,Marla,14.0
House,27500000,E-11,Islamabad,Islamabad Capital,33.693852,72.970591,0,For Sale,5,Kanal,6.0
House,42500000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,6,For Sale,6,Marla,10.1
House,32500000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,6,For Sale,4,Marla,8.0
House,28000000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,7,For Sale,5,Marla,8.0
Flat,40000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,3,For Rent,3,Marla,8.0
House,17000000,Bahria Town,Lahore,Punjab,31.37108,74.19031600000001,6,For Sale,5,Marla,10.0
House,17000000,Bahria Town,Lahore,Punjab,31.368955,74.179244,6,For Sale,5,Marla,10.0
House,16500000,Bahria Town,Lahore,Punjab,31.365803000000003,74.190116,6,For Sale,5,Marla,10.0
House,17500000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,Marla,10.0
House,19500000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,Marla,10.0
House,17000000,Bahria Town,Lahore,Punjab,31.363128000000003,74.183328,6,For Sale,5,Marla,10.0
House,18000000,Bahria Town,Lahore,Punjab,31.375843,74.189715,6,For Sale,5,Marla,10.0
House,17000000,Bahria Town,Lahore,Punjab,31.375697,74.196839,6,For Sale,5,Marla,10.0
House,18500000,Bahria Town,Lahore,Punjab,31.37108,74.19031600000001,6,For Sale,5,Marla,10.0
House,26000000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,Marla,10.0
House,18000000,Bahria Town,Lahore,Punjab,31.375843,74.189715,5,For Sale,4,Marla,10.0
House,46000000,Bahria Town,Lahore,Punjab,31.386395,74.18310600000001,6,For Sale,5,Kanal,1.0
House,17500000,Bahria Town,Lahore,Punjab,31.381706,74.19529399999999,6,For Sale,4,Marla,8.0
House,16000000,Bahria Town,Lahore,Punjab,31.381706,74.19529399999999,5,For Sale,4,Marla,10.0
House,21000000,Bahria Town,Lahore,Punjab,31.374451,74.183121,5,For Sale,4,Marla,10.0
House,45000000,Bahria Town,Lahore,Punjab,31.389912,74.190488,7,For Sale,5,Kanal,1.0
House,45000000,Bahria Town,Lahore,Punjab,31.389912,74.190488,7,For Sale,5,Kanal,1.0
House,25500000,Bahria Town,Lahore,Punjab,31.389912,74.190488,5,For Sale,4,Marla,10.0
House,27000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,6,For Sale,5,Marla,11.0
House,11000000,Satiana Road,Faisalabad,Punjab,31.390066,73.131186,0,For Sale,0,Marla,5.0
House,10500000,Satiana Road,Faisalabad,Punjab,31.390066,73.131186,0,For Sale,0,Marla,5.0
House,15000000,Satiana Road,Faisalabad,Punjab,31.390066,73.131186,0,For Sale,0,Marla,7.0
House,9000000,Satiana Road,Faisalabad,Punjab,31.257616,73.169765,0,For Sale,0,Marla,5.0
House,8500000,Satiana Road,Faisalabad,Punjab,31.390066,73.131186,0,For Sale,0,Marla,5.0
House,25000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.490372,73.06665699999999,7,For Sale,5,Marla,14.0
House,29500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.531951,73.115215,7,For Sale,6,Marla,15.0
Flat,35000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,1,For Rent,1,Marla,2.7
House,45000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.13053599999999,4,For Rent,3,Kanal,1.0
Flat,4000000,Gulistan-e-Jauhar,Karachi,Sindh,24.907822,67.129209,2,For Sale,2,Marla,4.0
Flat,8500000,Gulistan-e-Jauhar,Karachi,Sindh,24.926606,67.13038399999999,3,For Sale,3,Marla,5.8
House,45000000,Gulistan-e-Jauhar,Karachi,Sindh,24.923142,67.134826,6,For Sale,6,Marla,16.0
House,28500000,Gulistan-e-Jauhar,Karachi,Sindh,24.93591,67.152597,4,For Sale,4,Marla,8.0
Flat,9500000,Gulistan-e-Jauhar,Karachi,Sindh,24.926606,67.13038399999999,3,For Sale,3,Marla,5.3
Flat,15000000,Gulistan-e-Jauhar,Karachi,Sindh,24.929252,67.136679,4,For Sale,5,Marla,8.7
Flat,8000000,Gulistan-e-Jauhar,Karachi,Sindh,24.929252,67.136679,2,For Sale,2,Marla,4.4
House,19000000,Gulistan-e-Jauhar,Karachi,Sindh,24.923999,67.13414,5,For Sale,5,Marla,4.8
Flat,35000,Gulistan-e-Jauhar,Karachi,Sindh,24.912026,67.13073299999999,3,For Rent,3,Marla,6.9
House,36000,North Nazimabad,Karachi,Sindh,24.961242,67.056011,3,For Rent,3,Marla,9.6
House,19000000,Bahria Town,Lahore,Punjab,31.37086,74.182935,6,For Sale,5,Marla,10.0
House,20000000,Bahria Town,Lahore,Punjab,31.375843,74.189715,7,For Sale,5,Marla,10.0
House,19500000,Bahria Town,Lahore,Punjab,31.375843,74.189715,7,For Sale,5,Marla,10.0
House,24000000,Bahria Town,Lahore,Punjab,31.375843,74.189715,7,For Sale,5,Marla,12.0
House,3800000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,2,Marla,3.0
House,6600000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,3,For Sale,2,Marla,5.0
House,4300000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,2,Marla,4.0
House,5500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,2,Marla,5.0
House,5500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,2,Marla,5.0
House,14800000,Bahria Town,Lahore,Punjab,31.364887,74.186554,5,For Sale,4,Marla,10.0
House,12000000,Johar Town,Lahore,Punjab,31.465275,74.29189699999999,3,For Sale,3,Marla,5.0
House,16500000,Bahria Town,Lahore,Punjab,31.381706,74.19529399999999,7,For Sale,5,Marla,8.0
House,11000000,Bahria Town,Lahore,Punjab,31.381706,74.19529399999999,5,For Sale,3,Marla,5.0
House,54000000,North Nazimabad,Karachi,Sindh,24.948476,67.059474,0,For Sale,9,Marla,9.6
Flat,9500000,Gulistan-e-Jauhar,Karachi,Sindh,24.915748,67.119548,2,For Sale,2,Marla,4.4
Flat,29000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,2,For Rent,2,Marla,3.6
House,10800000,Bahria Town,Lahore,Punjab,31.375514000000003,74.172735,5,For Sale,3,Marla,5.0
House,11800000,Bahria Town,Lahore,Punjab,31.37414,74.18016,5,For Sale,3,Marla,5.0
House,11200000,Bahria Town,Lahore,Punjab,31.374249,74.176404,4,For Sale,3,Marla,5.0
House,11000000,Bahria Town,Lahore,Punjab,31.381193,74.188771,5,For Sale,3,Marla,5.0
House,11300000,Bahria Town,Lahore,Punjab,31.37414,74.18016,5,For Sale,3,Marla,5.0
Flat,4400000,Bahria Town,Lahore,Punjab,31.374195,74.191482,0,For Sale,0,Marla,2.7
Flat,4000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.481854,73.084559,0,For Sale,2,Marla,3.5
House,7500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,4,For Sale,4,Marla,7.0
House,9500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,4,For Sale,3,Marla,5.0
House,15000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.489836,73.101611,4,For Sale,3,Marla,7.0
House,35000,Satiana Road,Faisalabad,Punjab,31.385705,73.12226899999999,0,For Rent,0,Marla,7.5
House,23000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,3,For Rent,2,Marla,10.0
House,9100000,Bahria Town,Lahore,Punjab,31.376439,74.17997700000001,4,For Sale,3,Marla,5.0
House,18000000,Bahria Town,Lahore,Punjab,31.380313,74.18718299999999,5,For Sale,5,Marla,10.0
House,45000000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,6,Kanal,1.0
Flat,5800000,Bahria Town,Islamabad,Islamabad Capital,33.692638,73.218813,1,For Sale,1,Marla,3.7
House,11000000,Bahria Town,Lahore,Punjab,31.374414,74.177749,4,For Sale,3,Marla,5.0
House,22000000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,Marla,10.0
House,16500000,Bahria Town,Lahore,Punjab,31.379287,74.181308,5,For Sale,5,Marla,10.0
House,9000000,Bahria Town,Lahore,Punjab,31.376439,74.17997700000001,4,For Sale,3,Marla,5.0
House,20500000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,Marla,10.0
House,10400000,Bahria Town,Lahore,Punjab,31.374414,74.177749,4,For Sale,3,Marla,5.0
House,13000000,Bahria Town,Lahore,Punjab,31.385627000000003,74.19681700000001,4,For Sale,3,Marla,8.0
House,8800000,Bahria Town,Lahore,Punjab,31.355396,74.18556,4,For Sale,3,Marla,6.0
House,10700000,Bahria Town,Lahore,Punjab,31.362139000000003,74.19359200000001,5,For Sale,3,Marla,5.0
House,22000000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,Marla,10.0
Flat,5000000,Bahria Town,Lahore,Punjab,31.385516,74.188857,1,For Sale,1,Marla,2.1
House,12800000,Bahria Town,Lahore,Punjab,31.381193,74.188771,4,For Sale,3,Marla,8.0
House,10800000,Bahria Town,Lahore,Punjab,31.374414,74.177749,4,For Sale,3,Marla,5.0
House,22000000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,Marla,10.0
House,17000000,Bahria Town,Lahore,Punjab,31.385627000000003,74.19681700000001,5,For Sale,5,Marla,8.0
House,21500000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,Marla,12.0
House,22000000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,Marla,11.0
House,16800000,Bahria Town,Lahore,Punjab,31.365803000000003,74.190116,7,For Sale,5,Marla,10.0
House,21000000,Bahria Town,Lahore,Punjab,31.374195,74.191482,6,For Sale,5,Marla,10.0
House,20500000,Bahria Town,Lahore,Punjab,31.37108,74.19031600000001,7,For Sale,5,Marla,10.0
House,19500000,Bahria Town,Lahore,Punjab,31.378774,74.19031600000001,7,For Sale,5,Marla,10.0
House,17600000,Bahria Town,Lahore,Punjab,31.352611,74.16516800000001,7,For Sale,5,Marla,10.0
House,20000000,Bahria Town,Lahore,Punjab,31.379287,74.181308,6,For Sale,5,Marla,10.0
House,3300000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,Marla,3.0
House,5300000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,Marla,5.0
House,5500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,2,Marla,5.0
House,5500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,2,Marla,5.0
House,25000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393000000001,6,For Sale,5,Marla,10.0
House,4000000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,4,Marla,4.0
House,4000000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,2,Marla,5.0
House,4000000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,2,Marla,5.0
House,1500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,2,Marla,2.2
House,3800000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,2,Marla,5.0
Flat,8500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393000000001,2,For Sale,3,Marla,6.3
Flat,15500000,Gulistan-e-Jauhar,Karachi,Sindh,24.920965,67.122366,3,For Sale,3,Marla,6.4
House,42500000,Gulistan-e-Jauhar,Karachi,Sindh,24.926606,67.13038399999999,8,For Sale,7,Marla,12.0
Flat,8000000,Gulistan-e-Jauhar,Karachi,Sindh,24.926606,67.13038399999999,2,For Sale,2,Marla,4.4
House,15000000,Bahria Town,Islamabad,Islamabad Capital,33.698471999999995,73.223812,4,For Sale,4,Marla,5.0
House,35000000,Bahria Town,Lahore,Punjab,31.37108,74.19031600000001,7,For Sale,6,Kanal,1.0
House,12700000,Bahria Town,Lahore,Punjab,31.381193,74.188771,4,For Sale,3,Marla,8.0
House,14000000,Bahria Town,Lahore,Punjab,31.385627000000003,74.19681700000001,6,For Sale,5,Marla,8.0
